Target,Timeframe,Best_Params,RMSE,MAE,Quantile
y_req_t1,1m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 1000, 'learning_rate': 0.01, 'feature_fraction': 0.9, 'alpha': 0.5}",12.806925328415199,9.801892854207441,
y_req_t1,1m,"{'verbosity': -1, 'random_state': 42, 'objective': 'quantile', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.05, 'feature_fraction': 0.9, 'alpha': 0.9}",19.405602750215643,15.862914390399252,0.9
y_bytes_imp_t1,1m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 500, 'learning_rate': 0.01, 'feature_fraction': 0.8, 'alpha': 0.5}",428.2702281825101,305.97151400751073,
y_bytes_imp_t1,1m,"{'verbosity': -1, 'random_state': 42, 'objective': 'quantile', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.05, 'feature_fraction': 0.8, 'alpha': 0.9}",638.0877362078262,546.0508414313352,0.9
y_req_t1,5m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 500, 'learning_rate': 0.01, 'feature_fraction': 0.8, 'alpha': 0.5}",43.75401269383426,32.717608351763694,
y_req_t1,5m,"{'verbosity': -1, 'random_state': 42, 'objective': 'quantile', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.05, 'feature_fraction': 0.8, 'alpha': 0.9}",62.80727414572876,49.60197135145126,0.9
y_bytes_imp_t1,5m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.01, 'feature_fraction': 0.9, 'alpha': 0.5}",1215.9287925491183,918.3243230836739,
y_bytes_imp_t1,5m,"{'verbosity': -1, 'random_state': 42, 'objective': 'quantile', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.05, 'feature_fraction': 0.9, 'alpha': 0.9}",1839.0350252062467,1526.4147808531175,0.9
y_req_t1,15m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 500, 'learning_rate': 0.01, 'feature_fraction': 0.9, 'alpha': 0.5}",102.42965282803105,76.44226179611337,
y_req_t1,15m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 63, 'n_estimators': 1000, 'learning_rate': 0.01, 'feature_fraction': 0.8, 'alpha': 0.5}",103.56546155546032,77.12816138418208,
y_bytes_imp_t1,15m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 500, 'learning_rate': 0.01, 'feature_fraction': 0.9, 'alpha': 0.5}",2808.243296479736,2168.628426945656,
y_bytes_imp_t1,15m,"{'verbosity': -1, 'random_state': 42, 'objective': 'regression', 'num_leaves': 31, 'n_estimators': 500, 'learning_rate': 0.01, 'feature_fraction': 0.9, 'alpha': 0.5}",2808.243296479736,2168.628426945656,
