Target,Timeframe,RMSE,Path,Quantile
y_req_t1,1m,13.830505321235002,models/lstm/lstm_y_req_t1_1m,
y_req_t1,1m,25.59188932113733,models/lstm/lstm_y_req_t1_1m_q90,0.9
y_bytes_imp_t1,1m,443.9607471335702,models/lstm/lstm_y_bytes_imp_t1_1m,
y_bytes_imp_t1,1m,754.2432531545553,models/lstm/lstm_y_bytes_imp_t1_1m_q90,0.9
y_req_t1,5m,47.294123126867476,models/lstm/lstm_y_req_t1_5m,
y_req_t1,5m,90.05029345888627,models/lstm/lstm_y_req_t1_5m_q90,0.9
y_bytes_imp_t1,5m,1428.7652082416353,models/lstm/lstm_y_bytes_imp_t1_5m,
y_bytes_imp_t1,5m,2734.0026411866893,models/lstm/lstm_y_bytes_imp_t1_5m_q90,0.9
y_req_t1,15m,127.61857623007619,models/lstm/lstm_y_req_t1_15m,
y_req_t1,15m,116.06988062144873,models/lstm/lstm_y_req_t1_15m,
y_bytes_imp_t1,15m,3188.509961415418,models/lstm/lstm_y_bytes_imp_t1_15m,
y_bytes_imp_t1,15m,3525.886879596324,models/lstm/lstm_y_bytes_imp_t1_15m,
