Model_Type,Target,Timeframe,RMSE,MSE,MAE,MAPE
XGBoost,y_req_t1,1m,12.097408712356222,146.34729755379223,8.99511385664049,0.34336977009480785
XGBoost,y_req_t1,1m,20.040510422033194,401.6220579756211,16.58164381947195,0.7935257018794102
XGBoost,y_bytes_imp_t1,1m,427.5988804425487,182840.80255572108,275.6174177143745,0.6980603917871219
XGBoost,y_bytes_imp_t1,1m,722.1101626739307,521443.08703697065,639.7080326462557,2.6761476976139726
XGBoost,y_req_t1,5m,38.64723991262808,1493.609152864233,29.07630472442576,0.21994481858938109
XGBoost,y_req_t1,5m,61.80336316825866,3819.6556989076716,50.51403899957206,0.47456332125702017
XGBoost,y_bytes_imp_t1,5m,1137.6645047730888,1294280.5254205975,842.7053097562911,0.36907236617076733
XGBoost,y_bytes_imp_t1,5m,1848.6460708199893,3417492.2951581846,1568.461585464439,0.8475756461541021
XGBoost,y_req_t1,15m,86.36505570977833,7458.922847753116,64.9911037435087,0.15440715002979044
XGBoost,y_bytes_imp_t1,15m,2461.4421532429574,6058697.473761326,1848.6881136481577,0.2520969741537319
